constituency;gss_code;three_code;nation;region;con_type;electorate;area;density;center_lat;center_lon
South Ribble;E14001491;SRI;England;North West;county;72029;141,8401632;507,8180846;53,68654365;-2,749836293
South Shields;E14001492;SSH;England;North East;borough;69725;37,01004851;1883,947815;54,96640838;-1,409879036
South Shropshire;E14001493;SSO;England;West Midlands;county;77034;1822,686681;42,2639836;52,5006224;-2,717942476
South Suffolk;E14001494;SSF;England;Eastern;county;71070;611,6400997;116,1957825;52,05062181;0,915337303
South West Devon;E14001495;SWD;England;South West;county;75371;399,7520526;188,5443727;50,41765739;-4,009029531
South West Hertfordshire;E14001496;SWH;England;Eastern;county;71552;97,14920237;736,5165977;51,66554352;-0,460714959
South West Norfolk;E14001497;SWN;England;Eastern;county;72496;1160,870781;62,44967243;52,55729632;0,562200303
South West Wiltshire;E14001498;SWW;England;South West;county;71551;451,5909479;158,4420599;51,19119168;-2,169158342
Southampton Itchen;E14001499;SOI;England;South East;borough;72150;25,34171887;2847,083908;50,90403155;-1,370197638
Southampton Test;E14001500;SOT;England;South East;borough;69960;23,51276149;2975,405505;50,92311752;-1,429919916
Southend East and Rochford;E14001501;SER;England;Eastern;county;70094;248,4496334;282,1255924;51,57778636;0,84140519
Southend West and Leigh;E14001502;SWL;England;Eastern;borough;76824;27,47368308;2796,275977;51,5509357;0,670797718
Southgate and Wood Green;E14001503;SWG;England;London;borough;76034;24,74119221;3073,174459;51,63538302;-0,129077283
Southport;E14001504;SOP;England;North West;county;74168;186,2647239;398,1859714;53,6780968;-2,951434714
Spelthorne;E14001505;SPL;England;South East;borough;72897;51,16136261;1424,844771;51,42480253;-0,467983526
Spen Valley;E14001506;SPV;England;Yorkshire and the Humber;borough;72169;62,09888584;1162,162558;53,70910575;-1,700426341
St Albans;E14001507;STA;England;Eastern;county;70881;59,69416926;1187,402403;51,73342132;-0,326694078
St Austell and Newquay;E14001508;SNQ;England;South West;county;74585;298,7218983;249,6803898;50,36174158;-4,851036544
St Helens North;E14001509;SHN;England;North West;county;76082;83,80587111;907,8361574;53,47944269;-2,716070054
